Time,txNext,highestSeq,unackSeq,rxNext,rxAvailable,rxTotal,cwnd,rWnd,ssThresh,state
+10004319.0ns,0,0,0,0,0,131072,1,0,65535,LISTEN
+10004319.0ns,3534471320,,,,,,,,
+10004319.0ns,,,3534471320,,,,,,
+10004319.0ns,,3534471320,,,,,,,
+10004319.0ns,3534471321,,,,,,,,
+10004319.0ns,,,3534471321,,,,,,
+10004319.0ns,,3534471321,,,,,,,
+10004319.0ns,,,,,,,0,,
+10004319.0ns,,,,,,,,,,SYN_RCVD
+30014558.0ns,,,,,,,,65535,
+30014558.0ns,,,,,,,536,,
+30014558.0ns,,,,,,,,,,ESTABLISHED
+30014558.0ns,,,,2236398563,,,,,
+30063677.0ns,,,,,,536,,,
+30063677.0ns,,,,2236399099,,,,,
+30063677.0ns,,,,,536,,,,
+30063677.0ns,,,,,,516,,,
+30063677.0ns,,,,,516,,,,
+30063677.0ns,,,,,,496,,,
+30063677.0ns,,,,,496,,,,
+30063677.0ns,,,,,,476,,,
+30063677.0ns,,,,,476,,,,
+30063677.0ns,,,,,,456,,,
+30063677.0ns,,,,,456,,,,
+30063677.0ns,,,,,,436,,,
+30063677.0ns,,,,,436,,,,
+30063677.0ns,,,,,,416,,,
+30063677.0ns,,,,,416,,,,
+30063677.0ns,,,,,,396,,,
+30063677.0ns,,,,,396,,,,
+30063677.0ns,,,,,,376,,,
+30063677.0ns,,,,,376,,,,
+30063677.0ns,,,,,,356,,,
+30063677.0ns,,,,,356,,,,
+30063677.0ns,,,,,,336,,,
+30063677.0ns,,,,,336,,,,
+30063677.0ns,,,,,,316,,,
+30063677.0ns,,,,,316,,,,
+30063677.0ns,,,,,,296,,,
+30063677.0ns,,,,,296,,,,
+30063677.0ns,,,,,,276,,,
+30063677.0ns,,,,,276,,,,
+30063677.0ns,,,,,,256,,,
+30063677.0ns,,,,,256,,,,
+30063677.0ns,,,,,,236,,,
+30063677.0ns,,,,,236,,,,
+30063677.0ns,,,,,,216,,,
+30063677.0ns,,,,,216,,,,
+30063677.0ns,,,,,,196,,,
+30063677.0ns,,,,,196,,,,
+30063677.0ns,,,,,,176,,,
+30063677.0ns,,,,,176,,,,
+30063677.0ns,,,,,,156,,,
+30063677.0ns,,,,,156,,,,
+30063677.0ns,,,,,,136,,,
+30063677.0ns,,,,,136,,,,
+30063677.0ns,,,,,,116,,,
+30063677.0ns,,,,,116,,,,
+30063677.0ns,,,,,,96,,,
+30063677.0ns,,,,,96,,,,
+30063677.0ns,,,,,,76,,,
+30063677.0ns,,,,,76,,,,
+30063677.0ns,,,,,,56,,,
+30063677.0ns,,,,,56,,,,
+30063677.0ns,,,,,,36,,,
+30063677.0ns,,,,,36,,,,
+30063677.0ns,,,,,,16,,,
+30063677.0ns,,,,,16,,,,
+30063677.0ns,,,,,,0,,,
+30063677.0ns,,,,,0,,,,
+30063678.0ns,3534471857,,,,,,,,
+30063678.0ns,,3534471857,,,,,,,
+50118397.0ns,,,,,,536,,,
+50118397.0ns,,,,2236399635,,,,,
+50118397.0ns,,,,,536,,,,
+50118397.0ns,,,,,,516,,,
+50118397.0ns,,,,,516,,,,
+50118397.0ns,,,,,,496,,,
+50118397.0ns,,,,,496,,,,
+50118397.0ns,,,,,,476,,,
+50118397.0ns,,,,,476,,,,
+50118397.0ns,,,,,,456,,,
+50118397.0ns,,,,,456,,,,
+50118397.0ns,,,,,,436,,,
+50118397.0ns,,,,,436,,,,
+50118397.0ns,,,,,,416,,,
+50118397.0ns,,,,,416,,,,
+50118397.0ns,,,,,,396,,,
+50118397.0ns,,,,,396,,,,
+50118397.0ns,,,,,,376,,,
+50118397.0ns,,,,,376,,,,
+50118397.0ns,,,,,,356,,,
+50118397.0ns,,,,,356,,,,
+50118397.0ns,,,,,,336,,,
+50118397.0ns,,,,,336,,,,
+50118397.0ns,,,,,,316,,,
+50118397.0ns,,,,,316,,,,
+50118397.0ns,,,,,,296,,,
+50118397.0ns,,,,,296,,,,
+50118397.0ns,,,,,,276,,,
+50118397.0ns,,,,,276,,,,
+50118397.0ns,,,,,,256,,,
+50118397.0ns,,,,,256,,,,
+50118397.0ns,,,,,,236,,,
+50118397.0ns,,,,,236,,,,
+50118397.0ns,,,,,,216,,,
+50118397.0ns,,,,,216,,,,
+50118397.0ns,,,,,,196,,,
+50118397.0ns,,,,,196,,,,
+50118397.0ns,,,,,,176,,,
+50118397.0ns,,,,,176,,,,
+50118397.0ns,,,,,,156,,,
+50118397.0ns,,,,,156,,,,
+50118397.0ns,,,,,,136,,,
+50118397.0ns,,,,,136,,,,
+50118397.0ns,,,,,,116,,,
+50118397.0ns,,,,,116,,,,
+50118397.0ns,,,,,,96,,,
+50118397.0ns,,,,,96,,,,
+50118397.0ns,,,,,,76,,,
+50118397.0ns,,,,,76,,,,
+50118397.0ns,,,,,,56,,,
+50118397.0ns,,,,,56,,,,
+50118397.0ns,,,,,,36,,,
+50118397.0ns,,,,,36,,,,
+50118397.0ns,,,,,,16,,,
+50118397.0ns,,,,,16,,,,
+50118397.0ns,,,,,,0,,,
+50118397.0ns,,,,,0,,,,
+50165917.0ns,,,,,,536,,,
+50165917.0ns,,,,2236400171,,,,,
+50165917.0ns,,,,,536,,,,
+50165917.0ns,,,,,,516,,,
+50165917.0ns,,,,,516,,,,
+50165917.0ns,,,,,,496,,,
+50165917.0ns,,,,,496,,,,
+50165917.0ns,,,,,,476,,,
+50165917.0ns,,,,,476,,,,
+50165917.0ns,,,,,,456,,,
+50165917.0ns,,,,,456,,,,
+50165917.0ns,,,,,,436,,,
+50165917.0ns,,,,,436,,,,
+50165917.0ns,,,,,,416,,,
+50165917.0ns,,,,,416,,,,
+50165917.0ns,,,,,,396,,,
+50165917.0ns,,,,,396,,,,
+50165917.0ns,,,,,,376,,,
+50165917.0ns,,,,,376,,,,
+50165917.0ns,,,,,,356,,,
+50165917.0ns,,,,,356,,,,
+50165917.0ns,,,,,,336,,,
+50165917.0ns,,,,,336,,,,
+50165917.0ns,,,,,,316,,,
+50165917.0ns,,,,,316,,,,
+50165917.0ns,,,,,,296,,,
+50165917.0ns,,,,,296,,,,
+50165917.0ns,,,,,,276,,,
+50165917.0ns,,,,,276,,,,
+50165917.0ns,,,,,,256,,,
+50165917.0ns,,,,,256,,,,
+50165917.0ns,,,,,,236,,,
+50165917.0ns,,,,,236,,,,
+50165917.0ns,,,,,,216,,,
+50165917.0ns,,,,,216,,,,
+50165917.0ns,,,,,,196,,,
+50165917.0ns,,,,,196,,,,
+50165917.0ns,,,,,,176,,,
+50165917.0ns,,,,,176,,,,
+50165917.0ns,,,,,,156,,,
+50165917.0ns,,,,,156,,,,
+50165917.0ns,,,,,,136,,,
+50165917.0ns,,,,,136,,,,
+50165917.0ns,,,,,,116,,,
+50165917.0ns,,,,,116,,,,
+50165917.0ns,,,,,,96,,,
+50165917.0ns,,,,,96,,,,
+50165917.0ns,,,,,,76,,,
+50165917.0ns,,,,,76,,,,
+50165917.0ns,,,,,,56,,,
+50165917.0ns,,,,,56,,,,
+50165917.0ns,,,,,,36,,,
+50165917.0ns,,,,,36,,,,
+50165917.0ns,,,,,,16,,,
+50165917.0ns,,,,,16,,,,
+50165917.0ns,,,,,,0,,,
+50165917.0ns,,,,,0,,,,
+50169276.0ns,,,,,,,1072,,
+50169276.0ns,3534472393,,,,,,,,
+50169276.0ns,,3534472393,,,,,,,
+70170237.0ns,,,,,,536,,,
+70170237.0ns,,,,2236400707,,,,,
+70170237.0ns,,,,,536,,,,
+70170237.0ns,,,,,,516,,,
+70170237.0ns,,,,,516,,,,
+70170237.0ns,,,,,,496,,,
+70170237.0ns,,,,,496,,,,
+70170237.0ns,,,,,,476,,,
+70170237.0ns,,,,,476,,,,
+70170237.0ns,,,,,,456,,,
+70170237.0ns,,,,,456,,,,
+70170237.0ns,,,,,,436,,,
+70170237.0ns,,,,,436,,,,
+70170237.0ns,,,,,,416,,,
+70170237.0ns,,,,,416,,,,
+70170237.0ns,,,,,,396,,,
+70170237.0ns,,,,,396,,,,
+70170237.0ns,,,,,,376,,,
+70170237.0ns,,,,,376,,,,
+70170237.0ns,,,,,,356,,,
+70170237.0ns,,,,,356,,,,
+70170237.0ns,,,,,,336,,,
+70170237.0ns,,,,,336,,,,
+70170237.0ns,,,,,,316,,,
+70170237.0ns,,,,,316,,,,
+70170237.0ns,,,,,,296,,,
+70170237.0ns,,,,,296,,,,
+70170237.0ns,,,,,,276,,,
+70170237.0ns,,,,,276,,,,
+70170237.0ns,,,,,,256,,,
+70170237.0ns,,,,,256,,,,
+70170237.0ns,,,,,,236,,,
+70170237.0ns,,,,,236,,,,
+70170237.0ns,,,,,,216,,,
+70170237.0ns,,,,,216,,,,
+70170237.0ns,,,,,,196,,,
+70170237.0ns,,,,,196,,,,
+70170237.0ns,,,,,,176,,,
+70170237.0ns,,,,,176,,,,
+70170237.0ns,,,,,,156,,,
+70170237.0ns,,,,,156,,,,
+70170237.0ns,,,,,,136,,,
+70170237.0ns,,,,,136,,,,
+70170237.0ns,,,,,,116,,,
+70170237.0ns,,,,,116,,,,
+70170237.0ns,,,,,,96,,,
+70170237.0ns,,,,,96,,,,
+70170237.0ns,,,,,,76,,,
+70170237.0ns,,,,,76,,,,
+70170237.0ns,,,,,,56,,,
+70170237.0ns,,,,,56,,,,
+70170237.0ns,,,,,,36,,,
+70170237.0ns,,,,,36,,,,
+70170237.0ns,,,,,,16,,,
+70170237.0ns,,,,,16,,,,
+70170237.0ns,,,,,,0,,,
+70170237.0ns,,,,,0,,,,
+70171516.0ns,,,3534471857,,,,,,
+70171516.0ns,3534472929,,,,,,,,
+70171516.0ns,,3534472929,,,,,,,
+70171516.0ns,,,,,,536,,,
+70171516.0ns,,,,2236401243,,,,,
+70171516.0ns,,,,,536,,,,
+70171516.0ns,,,,,,516,,,
+70171516.0ns,,,,,516,,,,
+70171516.0ns,,,,,,496,,,
+70171516.0ns,,,,,496,,,,
+70171516.0ns,,,,,,476,,,
+70171516.0ns,,,,,476,,,,
+70171516.0ns,,,,,,456,,,
+70171516.0ns,,,,,456,,,,
+70171516.0ns,,,,,,436,,,
+70171516.0ns,,,,,436,,,,
+70171516.0ns,,,,,,416,,,
+70171516.0ns,,,,,416,,,,
+70171516.0ns,,,,,,396,,,
+70171516.0ns,,,,,396,,,,
+70171516.0ns,,,,,,376,,,
+70171516.0ns,,,,,376,,,,
+70171516.0ns,,,,,,356,,,
+70171516.0ns,,,,,356,,,,
+70171516.0ns,,,,,,336,,,
+70171516.0ns,,,,,336,,,,
+70171516.0ns,,,,,,316,,,
+70171516.0ns,,,,,316,,,,
+70171516.0ns,,,,,,296,,,
+70171516.0ns,,,,,296,,,,
+70171516.0ns,,,,,,276,,,
+70171516.0ns,,,,,276,,,,
+70171516.0ns,,,,,,256,,,
+70171516.0ns,,,,,256,,,,
+70171516.0ns,,,,,,236,,,
+70171516.0ns,,,,,236,,,,
+70171516.0ns,,,,,,216,,,
+70171516.0ns,,,,,216,,,,
+70171516.0ns,,,,,,196,,,
+70171516.0ns,,,,,196,,,,
+70171516.0ns,,,,,,176,,,
+70171516.0ns,,,,,176,,,,
+70171516.0ns,,,,,,156,,,
+70171516.0ns,,,,,156,,,,
+70171516.0ns,,,,,,136,,,
+70171516.0ns,,,,,136,,,,
+70171516.0ns,,,,,,116,,,
+70171516.0ns,,,,,116,,,,
+70171516.0ns,,,,,,96,,,
+70171516.0ns,,,,,96,,,,
+70171516.0ns,,,,,,76,,,
+70171516.0ns,,,,,76,,,,
+70171516.0ns,,,,,,56,,,
+70171516.0ns,,,,,56,,,,
+70171516.0ns,,,,,,36,,,
+70171516.0ns,,,,,36,,,,
+70171516.0ns,,,,,,16,,,
+70171516.0ns,,,,,16,,,,
+70171516.0ns,,,,,,0,,,
+70171516.0ns,,,,,0,,,,
+70219356.0ns,,,,,,536,,,
+70219356.0ns,,,,2236401779,,,,,
+70219356.0ns,,,,,536,,,,
+70219356.0ns,,,,,,516,,,
+70219356.0ns,,,,,516,,,,
+70219356.0ns,,,,,,496,,,
+70219356.0ns,,,,,496,,,,
+70219356.0ns,,,,,,476,,,
+70219356.0ns,,,,,476,,,,
+70219356.0ns,,,,,,456,,,
+70219356.0ns,,,,,456,,,,
+70219356.0ns,,,,,,436,,,
+70219356.0ns,,,,,436,,,,
+70219356.0ns,,,,,,416,,,
+70219356.0ns,,,,,416,,,,
+70219356.0ns,,,,,,396,,,
+70219356.0ns,,,,,396,,,,
+70219356.0ns,,,,,,376,,,
+70219356.0ns,,,,,376,,,,
+70219356.0ns,,,,,,356,,,
+70219356.0ns,,,,,356,,,,
+70219356.0ns,,,,,,336,,,
+70219356.0ns,,,,,336,,,,
+70219356.0ns,,,,,,316,,,
+70219356.0ns,,,,,316,,,,
+70219356.0ns,,,,,,296,,,
+70219356.0ns,,,,,296,,,,
+70219356.0ns,,,,,,276,,,
+70219356.0ns,,,,,276,,,,
+70219356.0ns,,,,,,256,,,
+70219356.0ns,,,,,256,,,,
+70219356.0ns,,,,,,236,,,
+70219356.0ns,,,,,236,,,,
+70219356.0ns,,,,,,216,,,
+70219356.0ns,,,,,216,,,,
+70219356.0ns,,,,,,196,,,
+70219356.0ns,,,,,196,,,,
+70219356.0ns,,,,,,176,,,
+70219356.0ns,,,,,176,,,,
+70219356.0ns,,,,,,156,,,
+70219356.0ns,,,,,156,,,,
+70219356.0ns,,,,,,136,,,
+70219356.0ns,,,,,136,,,,
+70219356.0ns,,,,,,116,,,
+70219356.0ns,,,,,116,,,,
+70219356.0ns,,,,,,96,,,
+70219356.0ns,,,,,96,,,,
+70219356.0ns,,,,,,76,,,
+70219356.0ns,,,,,76,,,,
+70219356.0ns,,,,,,56,,,
+70219356.0ns,,,,,56,,,,
+70219356.0ns,,,,,,36,,,
+70219356.0ns,,,,,36,,,,
+70219356.0ns,,,,,,16,,,
+70219356.0ns,,,,,16,,,,
+70219356.0ns,,,,,,0,,,
+70219356.0ns,,,,,0,,,,
+70266876.0ns,,,,,,536,,,
+70266876.0ns,,,,2236402315,,,,,
+70266876.0ns,,,,,536,,,,
+70266876.0ns,,,,,,516,,,
+70266876.0ns,,,,,516,,,,
+70266876.0ns,,,,,,496,,,
+70266876.0ns,,,,,496,,,,
+70266876.0ns,,,,,,476,,,
+70266876.0ns,,,,,476,,,,
+70266876.0ns,,,,,,456,,,
+70266876.0ns,,,,,456,,,,
+70266876.0ns,,,,,,436,,,
+70266876.0ns,,,,,436,,,,
+70266876.0ns,,,,,,416,,,
+70266876.0ns,,,,,416,,,,
+70266876.0ns,,,,,,396,,,
+70266876.0ns,,,,,396,,,,
+70266876.0ns,,,,,,376,,,
+70266876.0ns,,,,,376,,,,
+70266876.0ns,,,,,,356,,,
+70266876.0ns,,,,,356,,,,
+70266876.0ns,,,,,,336,,,
+70266876.0ns,,,,,336,,,,
+70266876.0ns,,,,,,316,,,
+70266876.0ns,,,,,316,,,,
+70266876.0ns,,,,,,296,,,
+70266876.0ns,,,,,296,,,,
+70266876.0ns,,,,,,276,,,
+70266876.0ns,,,,,276,,,,
+70266876.0ns,,,,,,256,,,
+70266876.0ns,,,,,256,,,,
+70266876.0ns,,,,,,236,,,
+70266876.0ns,,,,,236,,,,
+70266876.0ns,,,,,,216,,,
+70266876.0ns,,,,,216,,,,
+70266876.0ns,,,,,,196,,,
+70266876.0ns,,,,,196,,,,
+70266876.0ns,,,,,,176,,,
+70266876.0ns,,,,,176,,,,
+70266876.0ns,,,,,,156,,,
+70266876.0ns,,,,,156,,,,
+70266876.0ns,,,,,,136,,,
+70266876.0ns,,,,,136,,,,
+70266876.0ns,,,,,,116,,,
+70266876.0ns,,,,,116,,,,
+70266876.0ns,,,,,,96,,,
+70266876.0ns,,,,,96,,,,
+70266876.0ns,,,,,,76,,,
+70266876.0ns,,,,,76,,,,
+70266876.0ns,,,,,,56,,,
+70266876.0ns,,,,,56,,,,
+70266876.0ns,,,,,,36,,,
+70266876.0ns,,,,,36,,,,
+70266876.0ns,,,,,,16,,,
+70266876.0ns,,,,,16,,,,
+70266876.0ns,,,,,,0,,,
+70266876.0ns,,,,,0,,,,
+70314396.0ns,,,,,,536,,,
+70314396.0ns,,,,2236402851,,,,,
+70314396.0ns,,,,,536,,,,
+70314396.0ns,,,,,,516,,,
+70314396.0ns,,,,,516,,,,
+70314396.0ns,,,,,,496,,,
+70314396.0ns,,,,,496,,,,
+70314396.0ns,,,,,,476,,,
+70314396.0ns,,,,,476,,,,
+70314396.0ns,,,,,,456,,,
+70314396.0ns,,,,,456,,,,
+70314396.0ns,,,,,,436,,,
+70314396.0ns,,,,,436,,,,
+70314396.0ns,,,,,,416,,,
+70314396.0ns,,,,,416,,,,
+70314396.0ns,,,,,,396,,,
+70314396.0ns,,,,,396,,,,
+70314396.0ns,,,,,,376,,,
+70314396.0ns,,,,,376,,,,
+70314396.0ns,,,,,,356,,,
+70314396.0ns,,,,,356,,,,
+70314396.0ns,,,,,,336,,,
+70314396.0ns,,,,,336,,,,
+70314396.0ns,,,,,,316,,,
+70314396.0ns,,,,,316,,,,
+70314396.0ns,,,,,,296,,,
+70314396.0ns,,,,,296,,,,
+70314396.0ns,,,,,,276,,,
+70314396.0ns,,,,,276,,,,
+70314396.0ns,,,,,,256,,,
+70314396.0ns,,,,,256,,,,
+70314396.0ns,,,,,,236,,,
+70314396.0ns,,,,,236,,,,
+70314396.0ns,,,,,,216,,,
+70314396.0ns,,,,,216,,,,
+70314396.0ns,,,,,,196,,,
+70314396.0ns,,,,,196,,,,
+70314396.0ns,,,,,,176,,,
+70314396.0ns,,,,,176,,,,
+70314396.0ns,,,,,,156,,,
+70314396.0ns,,,,,156,,,,
+70314396.0ns,,,,,,136,,,
+70314396.0ns,,,,,136,,,,
+70314396.0ns,,,,,,116,,,
+70314396.0ns,,,,,116,,,,
+70314396.0ns,,,,,,96,,,
+70314396.0ns,,,,,96,,,,
+70314396.0ns,,,,,,76,,,
+70314396.0ns,,,,,76,,,,
+70314396.0ns,,,,,,56,,,
+70314396.0ns,,,,,56,,,,
+70314396.0ns,,,,,,36,,,
+70314396.0ns,,,,,36,,,,
+70314396.0ns,,,,,,16,,,
+70314396.0ns,,,,,16,,,,
+70314396.0ns,,,,,,0,,,
+70314396.0ns,,,,,0,,,,
+70317755.0ns,,,,,,,536,,
+70317755.0ns,,,,,,,670,,
+90224635.0ns,,,3534472393,,,,,,
+90224635.0ns,3534473063,,,,,,,,
+90224635.0ns,,3534473063,,,,,,,
+90224635.0ns,,,,,,536,,,
