Time,txNext,highestSeq,unackSeq,rxNext,rxAvailable,rxTotal,cwnd,rWnd,ssThresh,state
+10004319.0ns,0,0,0,0,0,131072,1,0,65535,LISTEN
+10004319.0ns,,,,,,,,,,SYN_RCVD
+10004319.0ns,1079404097,,,,,,,,
+10004319.0ns,,,1079404097,,,,,,
+10004319.0ns,,1079404097,,,,,,,
+10004319.0ns,,,,668155428,,,,,
+30014558.0ns,,,,,,,,65535,
+30014558.0ns,,,,,,,,,,ESTABLISHED
+30014558.0ns,1079404098,,,,,,,,
+30014558.0ns,,1079404098,,,,,,,
+30014558.0ns,,,1079404098,,,,,,
+30063677.0ns,,,,,,536,,,
+30063677.0ns,,,,668155964,,,,,
+30063677.0ns,,,,,536,,,,
+30063677.0ns,,,,,,0,,,
+30063677.0ns,,,,,0,,,,
+30063679.0ns,,1079404634,,,,,,,
+30063679.0ns,1079404634,,,,,,,,
+50118397.0ns,,,,,,536,,,
+50118397.0ns,,,,668156500,,,,,
+50118397.0ns,,,,,536,,,,
+50118397.0ns,,,,,,0,,,
+50118397.0ns,,,,,0,,,,
+50165917.0ns,,,,,,536,,,
+50165917.0ns,,,,668157036,,,,,
+50165917.0ns,,,,,536,,,,
+50165917.0ns,,,,,,0,,,
+50165917.0ns,,,,,0,,,,
+50169276.0ns,,,,,,,1072,,
+50169276.0ns,,,1079404634,,,,,,
+50169277.0ns,,1079405170,,,,,,,
+50169277.0ns,1079405170,,,,,,,,
+70171516.0ns,,,,,,536,,,
+70171516.0ns,,,,668157572,,,,,
+70171516.0ns,,,,,536,,,,
+70171516.0ns,,,,,,0,,,
+70171516.0ns,,,,,0,,,,
+70219356.0ns,,,,,,536,,,
+70219356.0ns,,,,668158108,,,,,
+70219356.0ns,,,,,536,,,,
+70219356.0ns,,,,,,0,,,
+70219356.0ns,,,,,0,,,,
+70266876.0ns,,,,,,,,,536
+70266876.0ns,,,,,,,536,,
+70266876.0ns,,,,,,536,,,
+70266876.0ns,,,,668158644,,,,,
+70266876.0ns,,,,,536,,,,
+70266876.0ns,,,,,,0,,,
+70266876.0ns,,,,,0,,,,
+70314396.0ns,,1079405706,,,,,,,
+70314396.0ns,1079405706,,,,,,,,
+70314396.0ns,,,,,,536,,,
+70314396.0ns,,,,668159180,,,,,
+70314396.0ns,,,,,536,,,,
+70314396.0ns,,,,,,0,,,
+70314396.0ns,,,,,0,,,,
+70317755.0ns,,,,,,,670,,
+70317755.0ns,,,1079405170,,,,,,
+90224635.0ns,,,,,,536,,,
+90224635.0ns,,,,668159716,,,,,
+90224635.0ns,,,,,536,,,,
+90224635.0ns,,,,,,0,,,
+90224635.0ns,,,,,0,,,,
